discord_id,wallet,twitter
755682973896162146,0xyx9o0ev6s4yn4n0f8kc42w29to18w7g2kw2s6ac7,@Isaac
562774740334508459,0xzc2k2zq7q1br5j5u3ao79j68ly97q0j4rq2o1vl6,@Stewart
445053675239540739,0xvg1w4tr8i0xg9q9w2sa07t22mz03t4d0qa4p9sx2,@Raymond
683321487114363538,0xiy3l4yy8m4tm5e5p6la39k32pq88c4k7fw1g2sn6,@Randall
340128282645404568,0xly4k3eg9q4ge9l9w1cf42r67pr11o9x9xs2h0lt8,@Keith
863037028079702956,0xlv2y3cn8i6vy5r8x7hu05g64mt03a3b3df4s2wv1,@Thaddeus
887394340298846686,0xes6l4vi7r5dy5w1b1fj44z67qp74n0l7em8n4un5,@Oliver
209022856161820146,0xwg7u3ma2y9ii0h1v9mi20o40eo67s1z6xr3a6gj1,@Zephania
762320895994679319,0xir8w7uo4f9sy6o5g9ps64s79yg33u8l6yf8e9sc5,@Tyrone
892451598733822230,0xgx3r0op2z2sp9k2f1te71r81jj40u2d0ax2i8ha1,@Linus
666390153320898347,0xfq3z9qn9l0wn5z5r5bx09d32aq78w9b6ly6y0vv4,@Donovan
330340770020761712,0xyt0d0dp0m8ea6r4u3aa83b73cn16v5n6tr1e7ag4,@Ryder
191958463296371269,0xyy8s5je8l3jt9b3t5jf07p79ba07h4x0eg4y2th7,@Cole
204601093525154665,0xdc5g0og5t6rq5r4y0rf71j28vd54w2l9vy7t3te7,@Boris
826427437210908037,0xfe8f3jz9q0cg6w1e3lb42o28un55s8i4op7w7do0,@Samuel
953722605457696449,0xws2y9qg4u5kl6t1m7qk58h22dx39z2w5wa2l8bn9,@Merrill
376904137922457166,0xoz8r5ya4v9rd2u8s9lh86q03jn56y3g0mt6w0td4,@Oleg
660520022810571230,0xhn3t6sv7c4et5o5e0nf86e99fu12u0l7lt7c1wq7,@Melvin
876325907873045691,0xos6u8kt5d5rd8u3g3kb41u03cb59w0j0ha8s7tp9,@Joel
887524619438517794,0xso6n2of3s6if0p8u2nu03f95kk34k3z7rf0u6wv6,@Oren
524330347374640148,0xyb7z6fv1e2dz3r3e0ku16f20hg16r4v7vl2t3yq7,@Allistair
566356862773163722,0xxe0p4ej9b1hb6a2p4oc24u86nb10i5j2ri8f8bu0,@Derek
122237181119428529,0xlg2t0il9y1bc1z4i7yq52c49hv60v4o0zb7f1da8,@Gareth
471796647125060686,0xaa5c1lw6s4jr3r0j3oy90s89ng79b7m5dt6x0lr2,@Rashad
183913597734359823,0xjh6b9eb9u8jo3x3t3ow62y50oq98b9j0ll2c6rg2,@Stephen
290214057383035064,0xsp0n8sf1u5zw0m5z6gk23y81gu45g8u1qg5j1ve4,@Cooper
815386591853861144,0xwf7y3np3d8bv3n2o4by06k04yc81y5s5gw0h1nn9,@Carson
129491098566093337,0xed8s5tk7i3em5s0v8ks30f02fz86n1e4bb3h7tt2,@Cade
385720223854428163,0xif3s6br8k7ml0o7a2vc62v79ue09l4w7qh2p0fh4,@Amos
966924248449690634,0xoi2v8ov2q6fz4b0m4eu36u49mm73r1n4za3i8qj2,@Giacomo
663069523944587682,0xfk0l3ud9x8cq6p7m5qj08o94sx77c4o5vc9y2ai2,@Colby
764909997327641324,0xwt1z6gs7v0zh3h7r2co56g86bk90b5d9bk1f4fp6,@Barrett
434591154407934762,0xtf0i6fx0x4rr7w8p8bw38g57xr37b4j5yg6q0xf8,@Cullen
030871020127929512,0xnz9n3dx8p1ip9h5y9de62s93dp29c2m2wx2a8nz7,@Kuame
467586477476694907,0xgz1b9ea6n5ck6g3v5je77e65gi60q8p7en1c8ms1,@Mannix
400983977356974941,0xwi9r1qq5l8lk7p0t5tx27z88wz83m5l9jb9j6hs2,@Xander
108072730343238336,0xml7v8fa0g7ka8f4a3zb78z50vk72n2i8gk4e8ta4,@Abbot
720587534365651058,0xym2q1kj9z8qp3s8z6gs26v19ne50a6i3cw2b8zd9,@Jin
377479162046920451,0xuy5h7nx6u8ay9x9f6ld74y40pl28i4i5vy0g2qk9,@Warren
602507348032925927,0xki9i9jk5c7ci1z5d2vb91z58ig31k0q6jw7v3xd8,@Jonah
014416648164105687,0xfp6r5sf5z8uu5i9d5fe40w20ay40a3m1pp9l2zg4,@Thaddeus
744273372476348552,0xov9l0cp6b2od5r9q1qs45q02eq79a0v7dc6f5iw1,@Vladimir
834330100467080392,0xrh2d1kt3f2lm3b4p2tw43a75sn28h5o7mr4j3jl7,@Eagan
